Countries,Mammals,Birds,Fishes,Higher plants,Total
Turkey,19,20,131,107,277
Turkmenistan,10,20,11,4,45
Turks and Caicos Islands,2,3,29,9,43
Tuvalu,1,1,13,0,15
Uganda,30,26,60,64,180
Ukraine,10,18,24,19,71
United Arab Emirates,8,12,19,0,39
United Kingdom,5,9,47,41,102
United States,36,78,250,474,838
Uruguay,10,22,41,22,95
Uzbekistan,10,20,7,17,54
Vanuatu,7,8,18,10,43
"Venezuela, RB",34,51,43,82,210
Vietnam,55,47,80,205,387
Virgin Islands (U.S.),1,2,27,12,42
West Bank and Gaza,4,14,2,3,23
"Yemen, Rep.",10,18,37,163,228
Zambia,13,18,20,21,72
Zimbabwe,10,17,3,43,73
